SalePageId,SalePageTitle,SaleProductDescShortContent,GMV,TotalQty
7041930,essence輕柔打亮刷1items,可用於打亮、腮紅、定妝、及修容,834.0,6
7136411,水平衡香水修護髮膜180g-現正戀愛中,一抹柔順，瞬效滋養,834.0,6
7873346,黑格爾-星星男童四角褲2入-顏色隨機出貨,黑格爾-星星男童四角褲2入,834.0,6
8237554,日本獅王NONIO終結口氣漱口水_薄荷600ml,,834.0,6
8585045,1028 飛我莫屬限量眼彩盤-朱古力,,834.0,2
7403704,協和紙工_日製螺旋棉花棒100支,4969757143292,833.0,17
7319213,YABY兩穿止滑保暖襪-膚,加絨加厚持續保暖,833.0,17
7554846,NailHolic星球之旅指甲油5ml-多款任選,擁有輕盈滑順的刷毛筆觸，實現均一顯色的光澤效果。,833.0,7
8229953,IRIS日本製暖暖包10入-手握式,發熱持續時間最長約16小時，升溫快溫度高發熱久，日本原裝進口,833.0,7
7098432,綠得黑糖(原味)300g,"冬夏季煮沸後可加入芋圓,粉圓一起食用",833.0,7
7426774,Ora2淨色無暇牙膏-蜜桃薄荷,4901616008700,833.0,7
7952891,韓國滿版三麗鷗人物隱形襪-多色任選,可愛卡通,828.0,12
8249618,立得清-廚房去污濕巾30抽,添加葡萄柚精油,828.0,12
7954162,韓國童迪士尼立體耳朵中筒襪-多色多尺寸任選,童襪必備,828.0,12
8552949,愛康透芯涼感棉-多款尺寸任選(量少19cm/夜用超長41cm)(新舊包裝隨機出貨),獨家好芯涼 涼感芯片,828.0,12
7805990,寶可夢1/2襪-傑尼龜+小火龍-2雙入-多尺寸任選,正版授權,828.0,6
8122961,J lin X AM多功能完妝蛋,,828.0,4
8269669,【廠商直送】(箱購)包寧安 成人護理加大純水濕巾80抽12包-有蓋,加厚布料超含水,828.0,1
8226326,Hello Kitty輕柔涼爽掌心包8片29cm,細膩棉柔表層舒適親膚,826.0,14
8132797,湯姆貓與傑利鼠 玫瑰洗手慕斯250ml,清新香氛舒適好心情,826.0,14
8589705,設計款戴帽小熊刺繡坑條中筒襪-多色任選,可愛刺繡,826.0,14
7403634,襪口字句三隻毛毛熊中筒襪-多色任選,韓國襪子,826.0,14
7427241,角落生物_冷壓檸檬洗潔精,4716814955356,826.0,14
7836807,依必朗抗菌濕紙巾10片x3包入-綠茶,100％純水，不含酒精及螢光劑，質純溫和，帶給您如清水洗過般的潔淨感受。,826.0,14
7327020,舒潔濕式衛生紙40抽單入(新舊包裝隨機出貨),適量的水分使用過後不會濕濕的不舒服。,826.0,14
7598740,韓國滿版微笑食物中筒襪-多色任選,有趣穿搭,826.0,14
7105254,高彈力毛巾圈20入袋裝-2款任選,一組20入,826.0,14
7588644,non-no 全透褲襪-2雙入-多色任選,耐穿、薄透感、美肌,826.0,7
7275815,夢17草本泡泡染髮乳-可可棕(20ML*3包),"新配方添加草本精華溫合配方:指甲花、何首烏、摩洛哥核果油等草本植物精華,自然色彩表現讓您恢復年輕亮麗秀髮,能使毛髮於短時間快速達到輕鬆染髮氣味清香,溫和自然",826.0,4
8585782,待刪除-【廠商直送】Tangle Teezer王妃梳 英倫時尚梳-粉紫色,英國專利護髮梳，熱銷全球,826.0,2
7420252,韓國糖果純色條紋短襪-多色任選,韓國短襪,825.0,15
7108242,樂品細網洗衣袋2入-L,通過美國及歐盟測試標準，防護升級,825.0,11
7799270,雙子星浴帽2入組-藍,三麗鷗正版授權,825.0,11
7426284,soft99濃縮眼鏡防霧劑(持久型)10g,4975759201922,825.0,3
7069931,東門橄欖片120g,可重複使用夾鍊設計 保持產品新鮮美味,824.0,8
7658543,A.P雨傘AB紗平口褲,特殊拔印技術，印花久洗不褪色,824.0,4
7865893,歐洲Barwa奢華SPA甜杏仁香氛皂190g,來自歐洲波蘭在地生產,822.0,8
7448900,絲芙蒂玻尿酸特淨卸粧洗顏霜190g,洗臉時不隨著清潔彩粧及髒污導致水份流失，持續給予肌膚所需的潤澤，打造潔淨後清爽又水潤的好膚質,822.0,6
7519846,【廠商直送】美國Sundown日落恩賜 勇健鈣鎂鋅加強錠(100錠/瓶),能量代謝的重要元素,822.0,1
7739830,【廠商直送】女款棉質可愛卡通圖案刺繡中筒襪-7雙入,百搭學院風格,819.0,3
7425281,味之素醇緻原味-起司濃湯54g,4901001399116,818.0,14
7122428,健腹腳踏拉力器,腹部訓練，三條高彈力橡膠管 原料採用塑鋼材質，安全不斷裂,818.0,3
7472102,(已結束合作)Rimmel 365D有持無孔妝前凝乳,妝前打底，維持一整天不脫妝,816.0,3
7326872,高絲植淬白潤肌精玻尿酸超淨透卸粧液144ml,無油配方，質地如美容液般不厚重可輕鬆洗淨,816.0,3
