SalePageId,SalePageTitle,SaleProductDescShortContent,GMV,TotalQty
8567034,【精華液任選｜買3送2】頂級藍銅肌因修復精華+(一夜透亮活膚精露/高濃縮褪黑美白精華/黃金胜肽賦活精華)3擇2 送 頂級藍銅肌因修復精華-7ML隨身瓶+冰原花后賦活修護乳霜-10g隨身瓶,｜頂級藍銅肌因修復精華｜,403600.0,60
8591082,【精華液任選｜買3送3】頂級藍銅肌因修復精華+(一夜透亮活膚精露/高濃縮褪黑美白精華/黃金胜肽賦活精華)3擇2 送 高濃縮褪黑美白精華-10ML隨身瓶+藍銅玻尿酸保濕修復精華-10ML隨身瓶+黃金胜肽賦活精華-10ml隨身瓶,｜頂級藍銅肌因修復精華｜,401320.0,58
8302669,超導水藍銅修復面膜+76酵母胺基酸淨膚潔顏露【鍾明軒．蔡頤榛推薦】,｜超導水藍銅修復面膜｜,399714.0,186
7397688,蜂王乳極潤修護精華露(兩入)【保濕潤膚推薦】,｜蜂王乳極潤修護精華露｜,398019.0,181
8276796,【APP獨享禮遇】藍銅玻尿酸保濕修復精華【謝京穎推薦】,｜藍銅玻尿酸保濕修復精華｜,397580.0,206
8524340,一夜透亮活膚精露＋（黃金胜肽賦活精華／褪黑美白精華升級版／藍銅玻尿酸保濕修復精華 / 頂級藍銅肌因修復精華）精華液4擇1【7大天然植萃精油】,※美白精華瓶器異動中，原始小黑瓶與滴管式白色瓶器皆為正確商品，敬請見諒※,397360.0,105
8188719,【潤亮保濕組】藍銅玻尿酸保濕修復精華+雙精萃蜂王奇蹟日霜SPF35★★,｜藍銅玻尿酸保濕修復精華｜,394760.0,142
6770964,招福平安沐浴露500g（兩瓶優惠）,來自大自然的無患子皂素，搭配胺基酸潔膚成分。添加10種草本萃取與多種精油，溫柔泡泡包覆著每一寸敏感肌膚，讓你洗後感受多款安心草本的魔力。,394380.0,939
7756167,【買3送1｜包郵經濟組】黃金胜肽賦活精華＋黃金胜肽緊緻電波眼霜(高保濕震動導入版)+黃金修護白泡泡面膜【送】黑鑽松露金緻抗老面膜,※眼霜有「冰鎮陶瓷按摩頭」與「鋅合金按摩頭」，兩款皆屬TRUU正確商品，使用功效相同。,394320.0,93
8302576,超導水藍銅修復面膜【德國藍銅．冰沁修復】,｜超導水藍銅修復面膜｜,392757.0,201
8188864,【澎潤眼周組】藍銅玻尿酸保濕修復【謝京穎推薦】+黃金胜肽緊緻電波眼霜(高保濕震動導入版)【黃金電熨斗．一代女王推薦】,※眼霜有「冰鎮陶瓷按摩頭」與「鋅合金按摩頭」，兩款皆屬TRUU正確商品，使用功效相同。,391980.0,141
5176304,創新泡沫噴頭！無患子酵素泡泡 碗盤油汙洗潔液500g（一個噴瓶+一個補充瓶）-強去油！不咬手，植物洗淨好安心^^,強力去油，不傷手,383019.0,1281
8558801,頂級藍銅肌因修復精華+冰原花后賦活修護乳霜【最高濃度5000ppm】,｜頂級藍銅肌因修復精華｜,372000.0,80
6042603,九蒸九曝 秘傳以黑補黑 髮翳淨髮露550g-（單瓶優惠-方瓶任選兩瓶299元）,黑人蔘.黑色桔梗根.黑沙參.黑刺五加.黑大豆.黑米-具抗氧化能力，可活絡毛髮、強健髮根，減少秀髮受損與乾燥斷裂、強化髮質，防止髮絲分岔斷裂，使頭髮回復年輕光彩與青春的頭髮。,369543.0,1857
6950831,96.5%以上大自然成份的 招福平安淨化環境噴霧 300g（兩瓶）,可用於衣物/家中/辦公室/廁所等,367680.0,766
7366883,喚顏修護金三角｜黃金胜肽賦活精華＋黃金胜肽緊緻電波眼霜(高保濕震動導入版)+黃金修護白泡泡面膜【黃金電熨斗．一代女王推薦】,※眼霜有「冰鎮陶瓷按摩頭」與「鋅合金按摩頭」，兩款皆屬TRUU正確商品，使用功效相同。,361580.0,101
8577026,洋娃娃醇米胜肽眼霜15ml-睫毛蓬蓬 好亮眼（兩瓶優惠）,滋潤清爽好吸收，一瓶兩用,358720.0,608
8561126,速乾．光亮．抗菌的地板清潔劑1000ml❤️添加迷迭香尤加利精油（兩瓶）,📣全新瓶器，容量不變~好拿取、也好好看😍,353080.0,679
7928598,【潤白防曬美肌組】美白褪黑精華升級版+雙精萃蜂王奇蹟日霜SPF35★★【11點熱吵店推薦】,｜潤白防曬美肌組｜,349860.0,140
5176307,無患子酵素泡泡 碗盤油汙洗潔液500g（補充瓶*6）-強去油！不咬手，植物洗淨好安心^^,強力去油，不傷手,349842.0,586
7507705,【超值加價購】頂級山茶花黃金護唇膏,｜頂級山茶花黃金護唇膏｜,349300.0,700
7807242,【美膚神仙水】美白調理平衡露,｜美白調理平衡露｜,344512.0,194
7862760,高濃度三倍洗淨洗衣精1000ml-低敏配方（溫暖陽光香氛）+抗菌配方（青檸萊姆香氛）各一瓶,超高濃度，是市售洗衣精的三倍潔淨力,341700.0,1005
5477790,玫瑰甘露化妝水150ml（兩瓶省110元）,經測試，能促進肌膚新陳代謝,341020.0,578
8523595,一夜透亮活膚精露+熱療撫紋導入儀（音波震動版）+蜂王乳極潤修護精華露+黃金胜肽賦活精華 +冰原花后賦活修護乳霜【謝京穎推薦】,｜黃金胜肽賦活精華｜,340158.0,42
7998097,痘不逗留❤收口超快的抗痘舒緩修護精華乳30ml（兩罐優惠）,請塗在痘痘上，舒緩極佳,339900.0,618
8579275,媚比琳 飛天翹防水睫毛膏 (黑/暖棕),一刷睫毛立即逆天飛翹!,339150.0,850
6335386,耕心田 蘆薈保濕精華化妝水500ml （買一送一）,無添加酒精、色素、Paraben、MI/MCI防腐成份,330771.0,829
8271966,果然有酵！硬繭軟嫩嫩 手足修護霜100g（四瓶最優惠）,90%*以上天然來源成分,327850.0,395
7698801,【生物纖維面膜】冰原花后修復安瓶面膜 20入（1片＝5安瓶）,｜冰原花后修復安瓶面膜｜,327509.0,91
8555712,【超值加價購】黃金修護白泡泡面膜-50ML隨身瓶【毛孔吸塵器．11點熱吵店推薦】,｜黃金修護白泡泡面膜｜,325798.0,502
7895926,【美膚神仙水】美白調理平衡露-30G隨身瓶,｜美白調理平衡露隨身瓶｜,324786.0,814
8551953,【新春輕旅特惠】76酵母胺基酸淨膚潔顏露-30g隨身瓶+ 藍銅玻尿酸保濕修復精華-10ml隨身瓶+冰原花后賦活修護乳霜-10g隨身瓶+蜂王乳極潤修護精華露-30ml隨身瓶【送】手提收納包【小姐不熙娣．鍾明軒推薦】,潔顏露 - 淨化毛孔髒汙，暢通保養渠道,318264.0,178
7379789,全效修護奇肌組｜黃金胜肽賦活精華+雙精萃蜂王奇蹟日霜SPF35★★【11點熱吵店推薦】,｜全效修護奇肌組｜,317373.0,127
8561124,速乾．光亮．抗菌的地板清潔劑1000ml❤️添加迷迭香尤加利精油（一瓶）,📣全新瓶器，容量不變~好拿取、也好好看😍,312156.0,1044
8194589,【爆水小藍瓶】藍銅玻尿酸保濕修復精華-10ML隨身瓶【謝京穎推薦】,｜藍銅玻尿酸保濕修復精華 隨身瓶｜,311754.0,446
7639812,【APP獨享禮遇】冰原花后賦活修護乳霜【全新冰原花后系列】,｜冰原花后賦活修護乳霜｜,305661.0,139
8537040,【極潤撫紋組｜新春買6送5】一夜透亮活膚精露+頂級藍銅肌因修復精華+熱療撫紋導入儀（音波震動版）+蜂王乳極潤修護精華露+76酵母胺基酸淨膚潔顏露+冰原花后賦活修護乳霜 送 頂級藍銅肌因修復精華7ml+冰原花后賦活修護乳霜10g+76酵母胺基酸淨膚潔顏露30g+蜂王乳極潤修護精華露30g+超導水藍銅修復面膜30g,｜極潤撫紋組｜,299700.0,25
8566804,【精華液任選活動】藍銅玻尿酸保濕修復精華+(高濃縮褪黑美白精華/45淨化毛孔調理安瓶/黃金胜肽賦活精華)3擇2 送 黃金胜肽賦活精華-10ml隨身瓶+高濃縮褪黑美白精華-10ML隨身瓶,｜藍銅玻尿酸保濕修復精華｜,297480.0,57
7510396,小強掰　怪味掰 居家萬用清潔噴霧500g（噴霧瓶）任選三件85折,,297330.0,1122
7510429,小強掰　怪味掰 居家萬用清潔噴霧500g（補充瓶X3）無噴頭喔！,,295740.0,558
